volym_id,titel,stand,ar_fran,ar_till,xml_url,pdf_url,metadata_url,period,fel
roa_1719-1720__,"Sveriges ridderskaps och adels riksdagsprotokoll från och med år 1719. D. 1. H. 2, 1720",adel,1719,1720,https://weburn.kb.se/riks/ståndsriksdagen/xml/roa_1719-1720__/roa_1719-1720__.xml,https://weburn.kb.se/riks/ståndsriksdagen/pdf/roa_1719-1720__/roa_1719-1720__.pdf,https://weburn.kb.se/riks/metadata/29/21799229.html,1719-1720,
roa_1719-1752_reg_,"Sveriges ridderskaps och adels riksdagsprotokoll från och med år 1719. Personregister till ... delarna 1-18, 1719-1752 / utarb. av Erik Naumann",adel,1719,1752,https://weburn.kb.se/riks/ståndsriksdagen/xml/roa_1719-1752_reg_/roa_1719-1752_reg_.xml,https://weburn.kb.se/riks/ståndsriksdagen/pdf/roa_1719-1752_reg_/roa_1719-1752_reg_.pdf,https://weburn.kb.se/riks/metadata/34/21799234.html,1719-1752,
bn_1720-1727___03,"Bondeståndets riksdagsprotokoll. 1, 1720-1727",bonder,1720,1727,https://weburn.kb.se/riks/ståndsriksdagen/xml/bn_1720-1727__/bn_1720-1727___03.xml,https://weburn.kb.se/riks/ståndsriksdagen/pdf/bn_1720-1727__/bn_1720-1727___01.pdf,https://weburn.kb.se/riks/metadata/23/21798723.html,1720-1727,
bg_1723___03,"Borgarståndets riksdagsprotokoll från frihetstidens början. 2, 1723",borgare,1723,1723,https://weburn.kb.se/riks/ståndsriksdagen/xml/bg_1723__/bg_1723___03.xml,https://weburn.kb.se/riks/ståndsriksdagen/pdf/bg_1723__/bg_1723___01.pdf,https://weburn.kb.se/riks/metadata/09/21797809.html,1723,
pr_1723___03,"Prästeståndets riksdagsprotokoll: på Riksdagens uppdrag ... 6, 1723 / utg. av Axel Norberg",praster,1723,1723,https://weburn.kb.se/riks/ståndsriksdagen/xml/pr_1723__/pr_1723___03.xml,https://weburn.kb.se/riks/ståndsriksdagen/pdf/pr_1723__/pr_1723___01.pdf,https://weburn.kb.se/riks/metadata/17/21798917.html,1723,
roa_1723_1_,"Sveriges ridderskaps och adels riksdagsprotokoll från och med år 1719. D. 2, H. 1, 1723",adel,1723,1723,https://weburn.kb.se/riks/ståndsriksdagen/xml/roa_1723_1_/roa_1723_1_.xml,https://weburn.kb.se/riks/ståndsriksdagen/pdf/roa_1723_1_/roa_1723_1_.pdf,https://weburn.kb.se/riks/metadata/36/21799236.html,1723,
roa_1723_3_,"Sveriges ridderskaps och adels riksdagsprotokoll från och med år 1719. D. 3, 1723, 2, H. 3",adel,1723,1723,https://weburn.kb.se/riks/ståndsriksdagen/xml/roa_1723_3_/roa_1723_3_.xml,https://weburn.kb.se/riks/ståndsriksdagen/pdf/roa_1723_3_/roa_1723_3_.pdf,https://weburn.kb.se/riks/metadata/41/21799241.html,1723,
roa_1723_2_,"Sveriges ridderskaps och adels riksdagsprotokoll från och med år 1719. D. 3, 1723, H. 4, Bilagor",adel,1723,1723,https://weburn.kb.se/riks/ståndsriksdagen/xml/roa_1723_2_/roa_1723_2_.xml,https://weburn.kb.se/riks/ståndsriksdagen/pdf/roa_1723_2_/roa_1723_2_.pdf,https://weburn.kb.se/riks/metadata/38/21799238.html,1723,
roa_1726-1727_1_,"Sveriges ridderskaps och adels riksdagsprotokoll från och med år 1719. D. 4, 1726-1727, 1, H. 2, Januari-April 1727",adel,1723,1723,https://weburn.kb.se/riks/ståndsriksdagen/xml/roa_1726-1727_1_/roa_1726-1727_1_.xml,https://weburn.kb.se/riks/ståndsriksdagen/pdf/roa_1723_2_/roa_1723_2_.pdf,https://weburn.kb.se/riks/metadata/40/21799240.html,1723,
roa_1726-1727_2__01,"Sveriges ridderskaps och adels riksdagsprotokoll från och med år 1719. D. 5, 1726-1727, 2, H. 2, Juli-augusti 1727",adel,1723,1723,https://weburn.kb.se/riks/ståndsriksdagen/xml/roa_1726-1727_2_/roa_1726-1727_2__01.xml,https://weburn.kb.se/riks/ståndsriksdagen/pdf/roa_1723_3_/roa_1723_3_.pdf,https://weburn.kb.se/riks/metadata/43/21799243.html,1723,
bg_1726-1727___03,"Borgarståndets riksdagsprotokoll från frihetstidens början. 3, 1726-1727",borgare,1726,1727,https://weburn.kb.se/riks/ståndsriksdagen/xml/bg_1726-1727__/bg_1726-1727___03.xml,https://weburn.kb.se/riks/ståndsriksdagen/pdf/bg_1726-1727__/bg_1726-1727___01.pdf,https://weburn.kb.se/riks/metadata/20/21797820.html,1726-1727,
